_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
929,929,547173,ST GERALD CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,200 OLD SHEPPARD AVE,English Separate,547173,200,Old Sheppard Ave,200 Old Sheppard Ave,M2J 3L9,North York,Toronto,St. Gerald Catholic School,102003,437780,200,,,,6328,"{'type': 'MultiPoint', 'coordinates': [[-79.3263798211511, 43.7807132742098]]}"
930,930,8115497,ST GREGORY CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,126 RATHBURN RD,English Separate,8115497,126,Rathburn Rd,126 Rathburn Rd,M9B 2K6,Etobicoke,Toronto,St. Gregory Catholic School,102003,8106365,126,,,,2335,"{'type': 'MultiPoint', 'coordinates': [[-79.5448985655353, 43.6606760663976]]}"
931,931,785703,ST HELEN CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,1196 COLLEGE ST,English Separate,785703,1196,College St,1196 College St,M6H 1B8,former Toronto,Toronto,St. Helen Catholic School,102003,1145237,1196,,,,9765,"{'type': 'MultiPoint', 'coordinates': [[-79.4361563218923, 43.6520845728443]]}"
932,932,3054064,ST HENRY CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,100 BAMBURGH CRCL,English Separate,3054064,100,Bamburgh Crcl,100 Bamburgh Crcl,M1W 3R3,Scarborough,Toronto,St. Henry Secondary School,102003,30021623,100,,,,7275,"{'type': 'MultiPoint', 'coordinates': [[-79.3278303529869, 43.8136943030972]]}"
933,933,9780844,ST IGNATIUS LOYOLA CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,2350 MCCOWAN RD,English Separate,9780844,2350,McCowan Rd,2350 McCowan Rd,M1S 4B4,Scarborough,Toronto,St. Ignatius Of Loyola Catholic School,102003,30000493,2350,,,,8454,"{'type': 'MultiPoint', 'coordinates': [[-79.2652486874085, 43.8031579712554]]}"
934,934,579042,ST ISAAC JOGUES CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,1330 YORK MILLS RD,English Separate,579042,1330,York Mills Rd,1330 York Mills Rd,M3A 1Z8,North York,Toronto,St. Isaac Jogues Catholic School,102003,439609,1330,,,,7145,"{'type': 'MultiPoint', 'coordinates': [[-79.3219955718918, 43.7623998020414]]}"
935,935,9467497,ST JAMES CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,230 HUMBERCREST BLVD,English Separate,9467497,230,Humbercrest Blvd,230 Humbercrest Blvd,M6S 4L3,York,Toronto,St. James Catholic School,102003,20119895,230,,,,678,"{'type': 'MultiPoint', 'coordinates': [[-79.4952075334152, 43.6646903893884]]}"
936,936,10092854,ST JANE FRANCES CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,2745 JANE ST,English Separate,10092854,2745,Jane St,2745 Jane St,M3L 2E8,North York,Toronto,St. Jane Francis Catholic School,102003,10092803,2745,,,,694,"{'type': 'MultiPoint', 'coordinates': [[-79.5131656491401, 43.7421481635139]]}"
937,937,326651,ST JEAN DE BREBEUF CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,101 DEAN PARK RD,English Separate,326651,101,Dean Park Rd,101 Dean Park Rd,M1B 2X2,Scarborough,Toronto,St. Jean De Brebeuf Catholic School,102003,104728,101,,,,7721,"{'type': 'MultiPoint', 'coordinates': [[-79.1740585576179, 43.8022683840224]]}"
938,938,382095,ST JEAN DE LALANDE CATHOLIC ELEMENTARY SCHOOL,,FS,Conseil scolaire de district catholique Centre-Sud,500 SANDHURST CRCL,French Separate,382095,500,Sandhurst Crcl,500 Sandhurst Crcl,M1S 3Y7,Scarborough,Toronto,Ecole Saint-Jean-De-Lalande C S,102005,104519,500,,,,8871,"{'type': 'MultiPoint', 'coordinates': [[-79.2640882627444, 43.8047500213927]]}"
939,939,7560969,ST JEROME CATHOLIC ELEMENTARY SCHOOL,,ES,Toronto Catholic District School Board,111 SHARPECROFT BLVD,English Separate,7560969,111,Sharpecroft Blvd,111 Sharpecroft Blvd,M3J 1P5,North York,Toronto,St. Jerome Catholic School,102003,30092951,111,,,,6690,"{'type': 'MultiPoint', 'coordinates': [[-79.4888903079609, 43.7488344363176]]}"
