_id,OBJECTID,GEO_ID,NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,GENERAL_USE_CODE,LONG,LAT
482,482,10392311,HUMBER SUMMIT MIDDLE SCHOOL,60 PEARLDALE AVE,English Public,10392311,Pearldale Ave,60 Pearldale Ave,M9L 2G9,North York,Toronto,102001,-79.564522188693,43.7505647535485
483,483,1006145,HUMBER VALLEY VILLAGE JUNIOR MIDDLE SCHOOL,65 HARTFIELD RD,English Public,1006145,Hartfield Rd,65 Hartfield Rd,M9A 3E1,Etobicoke,Toronto,102001,-79.5265666084256,43.6654435061721
481,481,20029617,HUMBER COLLEGE - UNIVERSITY OF GUELPH BUILDING,207 HUMBER COLLEGE BLVD,,20029617,Humber College Blvd,207 Humber College Blvd,,Etobicoke,Toronto,102007,-79.60587202711,43.728202085158
485,485,7472009,HUMBERSIDE COLLEGIATE INSTITUTE,280 QUEBEC AVE,English Public,7472009,Quebec Ave,280 Quebec Ave,M6P 2V3,former Toronto,Toronto,102002,-79.4706428031364,43.6599427156923
484,484,74152,HUMBERCREST PUBLIC SCHOOL,14 ST MARK'S RD,English Public,74152,St Mark's Rd,14 St Mark's Rd,M6S 2H7,York,Toronto,102001,-79.4910553735324,43.6604526501243
486,486,10250056,HUMBERSIDE MONTESSORI,121 KENNEDY AVE,Private,10250056,Kennedy Ave,121 Kennedy Ave,M6S 2X8,former Toronto,Toronto,115001,-79.4749114880043,43.650861753789
487,487,12551948,HUMBERWOOD DOWNS JUNIOR MIDDLE ACADEMY,850 HUMBERWOOD BLVD,English Public,12551948,Humberwood Blvd,850 Humberwood Blvd,M9W 7A6,Etobicoke,Toronto,106007,-79.6191818734033,43.7288858667834
488,488,55237,HUMEWOOD COMMUNITY SCHOOL,15 CHERRYWOOD AVE,English Public,55237,Cherrywood Ave,15 Cherrywood Ave,M6C 2X4,York,Toronto,102001,-79.4280204516617,43.6866350930218
489,489,341682,HUNTER'S GLEN JUNIOR PUBLIC SCHOOL,16 HAILEYBURY DR,English Public,341682,Haileybury Dr,16 Haileybury Dr,M1K 4X5,Scarborough,Toronto,102001,-79.2601219894519,43.7457122545676
491,491,501943,IMMACULATE CONCEPTION CATHOLIC ELEMENTARY SCHOOL,23 COMAY RD,English Separate,501943,Comay Rd,23 Comay Rd,M6M 2K9,North York,Toronto,102003,-79.4778216965409,43.6976801383094
490,490,7974431,HURON STREET JUNIOR PUBLIC SCHOOL,541 HURON ST,English Public,7974431,Huron St,541 Huron St,M5R 2R6,former Toronto,Toronto,102001,-79.4024215880623,43.6705755099718
493,493,7439371,IMPERIAL COLLEGE OF TORONTO,20 QUEEN ELIZABETH BLVD,Private,7439371,Queen Elizabeth Blvd,20 Queen Elizabeth Blvd,M8Z 1L8,Etobicoke,Toronto,113001,-79.5042246383967,43.6230412453667
494,494,824662,INDIAN ROAD CRESCENT JUNIOR PUBLIC SCHOOL,285 INDIAN ROAD CRES,English Public,824662,Indian Road Cres,285 Indian Road Cres,M6P 2G8,former Toronto,Toronto,102001,-79.4600779001397,43.6625287329027
492,492,308238,IMMACULATE HEART OF MARY CATHOLIC ELEMENTARY SCHOOL,101 BIRCHMOUNT RD,English Separate,308238,Birchmount Rd,101 Birchmount Rd,M1N 3J7,Scarborough,Toronto,102003,-79.2624580005311,43.696144795195
495,495,864474,INGLENOOK COMMUNITY SCHOOL,19 SACKVILLE ST,English Public,864474,Sackville St,19 Sackville St,M5A 3E1,former Toronto,Toronto,102002,-79.3594007219466,43.6539752894773
497,497,9311803,INSIGHT ACADEMY OF CANADA,1039 MCNICOLL AVE,Private,9311803,McNicoll Ave,1039 McNicoll Ave,M1W 3W6,Scarborough,Toronto,115001,-79.3342656161374,43.8040674089564
496,496,327534,INGLEWOOD HEIGHTS JUNIOR PUBLIC SCHOOL,45 DEMPSTER ST,English Public,327534,Dempster St,45 Dempster St,M1T 2T6,Scarborough,Toronto,102001,-79.2923181525917,43.7794075284367
505,505,14651578,ISLAMIC INSTITUTE OF TORONTO ACADEMY SCHOOL,1630 NEILSON RD,Private,14651578,Neilson Rd,1630 Neilson Rd,M1X 1S3,Scarborough,Toronto,102005,-79.2298328214722,43.8187301827992
